=== token stream (1011875840 tokens) ===
model snapshot at /workspace/.cache/huggingface/hub/models--unsloth--Llama-3.2-1B/snapshots/9535bd9b1d1dea6acafbdc4813b728796aeb28da
[r0] stream batch 1824/30880: 29,534,208/500,000,000 (36,006 pos/s)
[r1] stream batch 1856/30880: 30,052,352/500,000,000 (36,506 pos/s)
[r0] stream batch 1840/30880: 29,793,280/500,000,000 (36,026 pos/s)
[r1] stream batch 1872/30880: 30,311,424/500,000,000 (36,527 pos/s)
[r0] stream batch 1856/30880: 30,052,352/500,000,000 (36,047 pos/s)
[r1] stream batch 1888/30880: 30,570,496/500,000,000 (36,547 pos/s)
[r0] stream batch 1872/30880: 30,311,424/500,000,000 (36,067 pos/s)
[r1] stream batch 1904/30880: 30,829,568/500,000,000 (36,571 pos/s)
[r0] stream batch 1888/30880: 30,570,496/500,000,000 (36,085 pos/s)
[r1] stream batch 1920/30880: 31,088,640/500,000,000 (36,587 pos/s)
[r0] stream batch 1904/30880: 30,829,568/500,000,000 (36,108 pos/s)
[r1] stream batch 1936/30880: 31,347,712/500,000,000 (36,608 pos/s)
[r0] stream batch 1920/30880: 31,088,640/500,000,000 (36,132 pos/s)
[r1] stream batch 1952/30880: 31,606,784/500,000,000 (36,625 pos/s)
[r0] stream batch 1936/30880: 31,347,712/500,000,000 (36,156 pos/s)
[r1] stream batch 1968/30880: 31,865,856/500,000,000 (36,644 pos/s)
[r0] stream batch 1952/30880: 31,606,784/500,000,000 (36,175 pos/s)
[r1] stream batch 1984/30880: 32,124,928/500,000,000 (36,663 pos/s)
[r0] stream batch 1968/30880: 31,865,856/500,000,000 (36,198 pos/s)
[r1] stream batch 2000/30880: 32,384,000/500,000,000 (36,676 pos/s)
[r0] stream batch 1984/30880: 32,124,928/500,000,000 (36,216 pos/s)
[r1] stream batch 2016/30880: 32,643,072/500,000,000 (36,691 pos/s)
[r0] stream batch 2000/30880: 32,384,000/500,000,000 (36,230 pos/s)
[r1] stream batch 2032/30880: 32,902,144/500,000,000 (36,707 pos/s)
[r0] stream batch 2016/30880: 32,643,072/500,000,000 (36,246 pos/s)
[r1] stream batch 2048/30880: 33,161,216/500,000,000 (36,721 pos/s)
[r0] stream batch 2032/30880: 32,902,144/500,000,000 (36,259 pos/s)
[r1] stream batch 2064/30880: 33,420,288/500,000,000 (36,734 pos/s)
[r0] stream batch 2048/30880: 33,161,216/500,000,000 (36,274 pos/s)
[r1] stream batch 2080/30880: 33,679,360/500,000,000 (36,748 pos/s)
[r0] stream batch 2064/30880: 33,420,288/500,000,000 (36,289 pos/s)
[r1] stream batch 2096/30880: 33,938,432/500,000,000 (36,760 pos/s)
[r0] stream batch 2080/30880: 33,679,360/500,000,000 (36,305 pos/s)
[r1] stream batch 2112/30880: 34,197,504/500,000,000 (36,776 pos/s)
[r0] stream batch 2096/30880: 33,938,432/500,000,000 (36,321 pos/s)
[r1] stream batch 2128/30880: 34,456,576/500,000,000 (36,794 pos/s)
[r0] stream batch 2112/30880: 34,197,504/500,000,000 (36,338 pos/s)
[r1] stream batch 2144/30880: 34,715,648/500,000,000 (36,810 pos/s)
[r0] stream batch 2128/30880: 34,456,576/500,000,000 (36,352 pos/s)
[r1] stream batch 2160/30880: 34,974,720/500,000,000 (36,825 pos/s)
[r0] stream batch 2144/30880: 34,715,648/500,000,000 (36,368 pos/s)
[r1] stream batch 2176/30880: 35,233,792/500,000,000 (36,848 pos/s)
[r0] stream batch 2160/30880: 34,974,720/500,000,000 (36,386 pos/s)
[r1] stream batch 2192/30880: 35,492,864/500,000,000 (36,861 pos/s)
[r0] stream batch 2176/30880: 35,233,792/500,000,000 (36,405 pos/s)
[r1] stream batch 2208/30880: 35,751,936/500,000,000 (36,880 pos/s)
