[german-vpd] rank0 sweep 8064/61760 (1466s, 65,294,240 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 8128/61760 (1477s, 65,812,384 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 8192/61760 (1489s, 66,330,528 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 8256/61760 (1500s, 66,848,672 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 8320/61760 (1512s, 67,366,816 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 8384/61760 (1523s, 67,884,960 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 8448/61760 (1535s, 68,403,104 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 8512/61760 (1546s, 68,921,248 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 8576/61760 (1558s, 69,439,392 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 8640/61760 (1570s, 69,957,536 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 8704/61760 (1581s, 70,475,680 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 8768/61760 (1593s, 70,993,824 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 8832/61760 (1604s, 71,511,968 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 8896/61760 (1616s, 72,030,112 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 8960/61760 (1627s, 72,548,256 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 9024/61760 (1639s, 73,066,400 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 9088/61760 (1650s, 73,584,544 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 9152/61760 (1662s, 74,102,688 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 9216/61760 (1673s, 74,620,832 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 9280/61760 (1685s, 75,138,976 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 9344/61760 (1696s, 75,657,120 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 9408/61760 (1708s, 76,175,264 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 9472/61760 (1719s, 76,693,408 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 9536/61760 (1731s, 77,211,552 positions, 44.6k pos/s)
